code,name,current_price,prev_low_price,price_drop,current_macd,prev_low_macd,macd_improve,weeks_between,strength
300558,贝达药业,45.86,48.6,-5.64,-0.8405,-4.8623,82.71,12,82.71
688036,传音控股,58.63,64.86,-9.61,-1.6824,-4.1703,59.66,13,59.66
