code,name,current_price,prev_low_price,price_drop,current_macd,prev_low_macd,macd_improve,strength
603658,安图生物,36.18,37.25,-2.87,0.2722,-0.9996,127.23,127.23
600720,中交设计,7.23,7.5,-3.6,-0.0461,-0.2715,83.03,83.03
600332,白云山,25.11,25.63,-2.03,-0.1895,-0.6713,71.77,71.77
603605,珀莱雅,72.9,80.72,-9.69,-2.2001,-5.0882,56.76,56.76
688363,华熙生物,47.25,48.24,-2.05,3.3333,2.3451,42.14,42.14
